Country;Christianity;Catholicism;Protestantism;Other Religions;Unaffiliated, atheists, agnostics
 Argentina;90;82;8;2,5;7,5
 Belize;81,7;51;30,7;8,6;9,7
 Bolivia;94,5;79,1;15,4;2,7;2,8
 Brazil;88,9;73,9;15;4,5;6,6
 Chile;85,8;69,9;15,9;2,9;11,3
 Colombia;94,5;84,5;9;1,9;3,6
 Costa Rica;91,7;78,7;13;3,3;5
 Cuba;46,8;43,1;3,7;4,7;48,5
 Ecuador;94,8;85,1;9,7;1,7;3,5
 Guatemala;81,8;56;25,8;2,5;15,7
 Haiti;91,2;83,5;7,7;5,5;3,3
 Honduras;92,1;69,1;23;2,8;5,1
 Mexico;94,2;88;6,2;2,3;3,5
 Nicaragua;86,9;71,3;15,6;2,6;10,5
 Panama;93;82,2;10,8;3,8;3,2
 Paraguay;97,3;90,6;6,7;1,7;1
 Peru;95,2;86,9;8,3;2,7;2,1
 Puerto Rico;93,3;64;29,3;1,6;5
 Dominican Republic;83,2;68,8;14,4;7,8;9
 El Salvador;83,3;60,4;20,9;2,6;16,1
 Uruguay;59,9;50;9,9;2,5;37,6
 Venezuela;91,8;81,4;10,4;3,2;5
