Country;Christianity ;Catholicism;Protestantism;Other Religions;Unaffiliated, atheists, agnostics
 Argentina;85,8;74,8;11;2,2;12
 Belize;74;40,5;33,5;10,4;15,6
 Bolivia;94,4;76;18,4;2,5;3,1
 Brazil;88,7;64,6;24,1;4,3;8
 Chile;76,1;60,2;15,9;2,4;21,5
 Colombia;93,2;78,2;15;1,8;5
 Costa Rica;90;69,7;20,3;3,9;6,1
 Cuba;50,2;45,9;4,3;4,1;45,7
 Ecuador;93,1;80,7;12,4;2,2;4,7
 El Salvador;82,4;43,8;29,4;2;24,8
 Guatemala;91;48,1;43,9;1,1;7,9
 Haiti;89,7;77,6;11,1;6,3;4
 Honduras;88,5;49,7;38,8;3,2;8,3
 Mexico;92,9;82,9;10;2,5;4,6
 Nicaragua;90,2;55;40,2;3,1;6,7
 Panama;93,2;74,7;18,5;3,1;3,7
 Paraguay;96,3;88,2;8,1;2,2;1,5
 Peru;93,6;80,6;13;2,9;3,5
 Puerto Rico;94,2;60,5;33,7;1,2;4,6
 Dominican Republic;90,5;65,5;25;4;5,5
 Uruguay;51,5;40,4;11;3,1;45,5
 Venezuela;91,3;72,1;19,2;3,2;5,5
